Percent errors on k as reported by Warren and Brandt (2008), from Gosse et al. (1995)
wavel, % error
7.8125 5.5
7.6923 4.7
7.5758 4.1
7.4627 3.3
7.3529 3.0
7.2464 3.0
7.1429 2.9
7.0423 3.2
6.9444 2.2
6.8493 2.8
6.7568 3.6
6.6667 3.7
6.5789 3.6
6.4935 4.2
6.4103 3.3
6.3291 3.2
6.2500 2.9
6.1728 3.2
6.0976 3.3
6.0241 1.5
5.9524 1.7
5.8824 2.8
5.8140 1.7
5.7471 1.5
5.6818 1.8
5.6180 1.9
5.5556 2.1
5.4945 2.3
5.4348 2.1
5.3763 1.7
5.3191 1.9
5.2632 1.8
5.2083 3.0
5.1546 2.6
5.1020 1.7
5.0505 2.4
5.0000 2.1
4.9505 1.7
4.9020 2.7
4.8544 1.8
4.8077 2.2
4.7619 5.2
4.7170 2.0
4.6729 2.5
4.6296 1.9
4.5872 2.2
4.5455 2.0
4.5045 2.0
4.4643 1.9
4.4248 2.0
4.3860 2.1
4.3478 1.8
4.3103 2.2
4.2735 1.9
4.2373 1.7
4.2017 2.1
4.1667 1.7
4.1322 1.3
4.0984 1.9
4.0650 2.2
4.0323 2.3
4.0000 1.8
3.9683 2.2
3.9370 2.9
3.9062 3.1
3.8760 2.6
3.8462 3.3
3.8168 3.6
3.7879 4.1
3.7594 4.6
3.7313 3.5
3.7037 7.7
3.6765 4.8
3.6496 4.0
3.6232 2.9
3.5971 4.1
3.5714 3.3
3.5461 3.3
3.5211 3.0
3.4965 2.5
3.4722 2.9
3.4483 2.7
3.4247 2.5
3.4014 3.5
3.3784 4.4
3.3557 2.3
2.8902 6.3
2.8736 3.3
2.8571 2.3
2.8409 2.3
2.8249 3.9
2.8090 3.7
2.7933 3.3
2.7778 3.3
2.7624 3.7
2.7473 4.0
2.7322 4.8
2.7174 5.8
2.7027 3.4
2.6882 2.4
2.6738 1.7
2.6596 1.6
2.6455 2.0
2.6316 1.8
2.6178 1.8
2.6042 1.9
2.5907 2.0
2.5773 2.0
2.5641 2.0
2.5510 1.8
2.5381 2.1
2.5253 2.1
2.5126 2.3
2.5000 2.0
2.4876 2.5
2.4752 2.2
2.4631 2.5
2.4510 2.6
2.4390 2.1
2.4272 2.0
2.4155 1.9
2.4038 2.1
2.3923 2.2
2.3810 2.3
2.3697 2.0
2.3585 2.5
2.3474 2.2
2.3364 2.3
2.3256 2.2
2.3148 2.2
2.3041 2.5
2.2936 3.3
2.2831 3.4
2.2727 2.8
2.2624 3.3
2.2523 3.7
2.2422 2.9
2.2321 2.9
2.2222 3.9
2.2124 3.6
2.2026 3.3
2.1930 3.2
2.1834 2.2
2.1739 2.0
2.1645 2.3
2.1552 1.9
2.1459 2.0
2.1368 1.7
2.1277 2.0
2.1186 1.7
2.1097 1.6
2.1008 1.8
2.0921 1.7
2.0833 1.8
2.0747 1.9
2.0661 1.8
2.0576 2.1
2.0492 1.8
2.0408 2.8
2.0325 1.6
2.0243 2.6
2.0161 1.6
2.0080 3.0
2.0000 2.6
1.9920 1.8
1.9841 2.5
1.9763 4.4
1.9685 2.2
1.9608 1.8
1.9531 2.0
1.9455 2.1
1.9380 2.0
1.9305 1.9
1.9231 2.1
1.9157 2.3
1.9084 2.2
1.9011 2.1
1.8939 1.8
1.8868 3.1
1.8797 2.3
1.8727 4.4
1.8657 4.6
1.8587 6.0
1.8519 5.9
1.8450 6.0
1.8382 5.1
1.8315 5.2
1.8248 5.9
1.8182 5.5
1.8116 3.0
1.8051 5.6
1.7986 5.3
1.7921 6.8
1.7857 5.0
1.7794 4.8
1.7730 4.3
1.7668 4.6
1.7606 5.5
1.7544 6.5
1.7483 3.5
1.7422 3.8
1.7361 4.1
1.7301 5.2
1.7241 3.3
1.7182 3.6
1.7123 5.6
1.7065 3.5
1.7007 4.5
1.6949 4.6
1.6892 4.3
1.6835 3.6
1.6779 4.1
1.6722 4.3
1.6667 5.0
1.6611 3.2
1.6556 2.8
1.6502 2.4
1.6447 2.7
1.6393 3.9
1.6340 3.8
1.6287 4.6
1.6234 3.6
1.6181 3.7
1.6129 3.4
1.6077 3.3
1.6026 2.8
1.5974 2.8
1.5924 2.3
1.5873 3.1
1.5823 3.2
1.5773 1.6
1.5723 2.2
1.5674 1.9
1.5625 2.6
1.5576 2.9
1.5528 3.2
1.5480 2.7
1.5432 2.4
1.5385 3.1
1.5337 4.4
1.5291 2.6
1.5244 2.1
1.5198 4.8
1.5152 3.9
1.5106 1.9
1.5060 1.7
1.5015 6.5
1.4970 2.7
1.4925 3.8
1.4881 4.7
1.4837 3.5
1.4793 3.5
1.4749 1.7
1.4706 4.0
1.4663 6.7
1.4620 7.3
1.4577 8.0
1.4535 6.4
1.4493 7.6
1.4451 7.5
1.4409 4.3
1.4368 10.2
1.4327 12.8
