Errors on k for wavelengths between 0.39 - 0.6 microns as reported by Warren and Brandt (2006)
wavel, k, k_min, k_max
350 1.78E-3 8.38E-4 3.08E-3
355 1.45E-3 6.48E-4 2.60E-3
360 1.25E-3 5.12E-4 2.33E-3
365 1.08E-3 4.02E-4 2.08E-3
370 9.21E-4 3.11E-4 1.86E-3
375 8.11E-4 2.49E-4 1.70E-3
380 7.31E-4 2.06E-4 1.59E-3
385 6.60E-4 1.71E-4 1.47E-3
390 6.38E-4 1.63E-4 1.43E-3
395 6.79E-4 1.83E-4 1.50E-3
400 7.43E-4 2.17E-4 1.59E-3
405 7.82E-4 2.40E-4 1.64E-3
410 8.18E-4 2.61E-4 1.69E-3
415 8.62E-4 2.86E-4 1.75E-3
420 9.38E-4 3.31E-4 1.86E-3
425 1.04E-3 3.96E-4 2.01E-3
430 1.21E-3 5.04E-4 2.24E-3
435 1.47E-3 6.76E-4 2.59E-3
440 1.79E-3 8.95E-4 3.00E-3
445 2.15E-3 1.16E-3 3.47E-3
450 2.58E-3 1.48E-3 4.01E-3
455 3.05E-3 1.84E-3 4.59E-3
460 3.62E-3 2.28E-3 5.28E-3
465 4.33E-3 2.85E-3 6.13E-3
470 5.23E-3 3.59E-3 7.21E-3
475 6.29E-3 4.47E-3 8.46E-3
480 7.49E-3 5.48E-3 9.84E-3
485 8.91E-3 6.71E-3 1.15E-2
490 1.07E-2 8.25E-3 1.35E-2
495 1.27E-2 9.99E-3 1.57E-2
500 1.48E-2 1.18E-2 1.82E-2
505 1.72E-2 1.39E-2 2.09E-2
510 1.98E-2 1.62E-2 2.39E-2
515 2.28E-2 1.89E-2 2.71E-2
520 2.60E-2 2.18E-2 3.07E-2
525 2.96E-2 2.51E-2 3.45E-2
530 3.34E-2 2.87E-2 3.87E-2
535 3.76E-2 3.26E-2 4.32E-2
540 4.22E-2 3.69E-2 4.80E-2
545 4.71E-2 4.16E-2 5.31E-2
550 5.23E-2 4.67E-2 5.84E-2
555 5.78E-2 5.21E-2 6.40E-2
560 6.37E-2 5.80E-2 6.99E-2
565 6.99E-2 6.43E-2 7.59E-2
570 7.63E-2 7.10E-2 8.21E-2
575 8.31E-2 7.81E-2 8.84E-2
580 9.01E-2 8.56E-2 9.48E-2
585 9.73E-2 9.36E-2 1.01E-1
590 1.05E-1 1.02E-1 1.08E-1
595 1.12E-1 1.11E-1 1.14E-1
600 1.20E-1 1.20E-1 1.20E-1
