hudgins1993
140
pe
wavel  n  k
199.389867007  1.6743  -0.0438
192.0049153258  1.6965  -0.062296
185.1474699598  1.7205  -0.034211
178.7629603146  1.7344  -0.03557
172.8040920009  1.7362  0.0021384
167.2296732332  1.7407  0.0
162.0036612827  1.743  0.019086
157.0943823049  1.7373  0.0011017
152.4738888465  1.7412  0.0092071
148.1174274965  1.7426  0.0086643
144.0050689784  1.7469  0.0081028
140.1129310224  1.7548  0.0075367
136.4256480218  1.768  0.01176
132.9274614843  1.763  0.056395
129.6041888074  1.7487  0.041331
126.4430310923  1.7504  0.033242
123.4324084132  1.7473  0.045588
120.5618180722  1.7513  0.016104
117.8217121851  1.7701  0.019353
115.2033915878  1.7767  0.045008
112.6989135825  1.7747  0.048028
110.3010114603  1.7745  0.05265
108.0030240847  1.7721  0.055254
105.7988340968  1.78  0.036788
103.6828135368  1.7891  0.055592
101.6497758622  1.797  0.046847
99.6909580301  1.8012  0.071859
97.8090766823  1.8082  0.052752
96.0061443932  1.8201  0.076155
94.2595909134  1.8226  0.085985
92.5754489909  1.8289  0.088666
90.9504320146  1.8337  0.10873
89.3814801573  1.8271  0.12575
87.8657411475  1.8289  0.10648
86.4005529635  1.841  0.11705
84.9834282315  1.8592  0.11351
83.6190316916  1.8716  0.15635
82.2909809085  1.8681  0.18092
81.004455245  1.8589  0.20144
79.7575370873  1.8568  0.19699
78.5484251041  1.8627  0.21632
77.3754255648  1.8574  0.24875
76.2369444233  1.8472  0.25993
75.1314800902  1.8358  0.28173
74.0576168259  1.8225  0.28915
73.0140186916  1.8092  0.30314
72.0046082949  1.7973  0.2996
71.0176834032  1.7888  0.31378
70.0574471066  1.7769  0.31548
69.1228312712  1.7693  0.3165
68.2128240109  1.7611  0.3252
67.3264660338  1.7544  0.3234
66.4628472684  1.746  0.33716
65.621103747  1.7375  0.33197
64.8004147227  1.7314  0.34261
64.0040962622  1.7201  0.34431
63.2231143706  1.7123  0.34527
62.4609618988  1.7031  0.34778
61.716965994  1.6948  0.34285
60.9904854843  1.6931  0.3343
60.2809090361  1.6933  0.33858
59.5876534382  1.6905  0.34097
58.9101620029  1.6907  0.33694
58.2479030755  1.6937  0.34152
57.6003686424  1.6953  0.34977
56.9703184641  1.6955  0.3536
56.3507269244  1.6979  0.36692
55.7444673616  1.6923  0.38624
55.1511140525  1.6837  0.39183
54.5702592087  1.6784  0.39762
54.0015120423  1.6739  0.40649
53.4444978889  1.6671  0.41902
52.8988573847  1.6566  0.42932
52.364245693  1.6498  0.42776
51.8403317781  1.6453  0.44175
51.3294322965  1.6356  0.44848
50.8259212198  1.6278  0.46007
50.3321924703  1.619  0.46554
49.8479637107  1.6107  0.47711
49.3729633653  1.6002  0.48836
