leger1983
77
abs
Wavelength (microns) 	 real  imaginary
2.50000  1.224  0.0
2.53165  1.218  0.0
2.56410  1.210  0.0
2.59740  1.200  0.0
2.63158  1.188  0.0
2.66667  1.174  0.0
2.70270  1.152  0.0
2.73973  1.127  0.006
2.79330  1.068  0.022
2.80899  1.049  0.035
2.82486  1.030  0.050
2.84091  1.007  0.068
2.85714  0.983  0.093
2.87356  0.960  0.131
2.89017  0.946  0.177
2.90698  0.941  0.227
2.92398  0.946  0.280
2.94118  0.963  0.332
2.95858  0.985  0.374
2.97619  1.007  0.414
2.99401  1.030  0.459
3.01205  1.063  0.509
3.03030  1.107  0.560
3.04878  1.170  0.615
3.06748  1.257  0.656
3.08642  1.365  0.663
3.10559  1.458  0.632
3.12500  1.533  0.584
3.14465  1.593  0.535
3.16456  1.645  0.479
3.18471  1.688  0.414
3.20513  1.716  0.341 
3.22581  1.729  0.266
3.24675  1.723  0.190
3.26797  1.698  0.122
3.28947  1.655  0.074
3.31126  1.615  0.049
3.33333  1.583  0.036
3.38983  1.528  0.022
3.44828  1.491  0.007
3.50877  1.458  0.004
3.57143  1.436  0.005
3.63636  1.420  0.004
3.70370  1.406  0.005
3.77358  1.395  0.005
3.84615  1.385  0.007
3.92157  1.377  0.009
4.00000  1.370  0.010
4.08163  1.364  0.013
4.16667  1.358  0.014
4.25532  1.354  0.018
4.34783  1.351  0.022
4.44444  1.351  0.025
4.54545  1.353  0.025
4.65116  1.354  0.021
4.76190  1.350  0.015
4.87805  1.344  0.012
5.00000  1.337  0.010
5.12821  1.330  0.010
5.26316  1.321  0.011
5.40541  1.312  0.013
5.55556  1.298  0.019
5.71429  1.290  0.040
5.88235  1.298  0.061
6.06061  1.312  0.066
6.25000  1.322  0.063
6.45161  1.328  0.038
6.66667  1.327  0.051
6.89655  1.324  0.049
7.14286  1.322  0.048
7.40741  1.319  0.044
7.69231  1.312  0.039
8.00000  1.303  0.037
8.33333  1.289  0.034
8.69565  1.275  0.038
9.09091  1.260  0.034
9.52381  1.211  0.018
10.0000  1.124  0.050
