mastrapa2008Ia
97.5
ne
wavel, n, k
1.111370 1.289886 6.278688E-06
1.111489 1.289887 6.465489E-06
1.111608 1.289888 6.580671E-06
1.111727 1.289889 6.503144E-06
1.111846 1.289890 5.222872E-06
1.111966 1.289889 3.672619E-06
1.112085 1.289889 5.918285E-06
1.112204 1.289889 5.747918E-06
1.112323 1.289890 7.274693E-06
1.112443 1.289890 6.022085E-06
1.112562 1.289891 6.253471E-06
1.112682 1.289891 6.070179E-06
1.112801 1.289891 7.172627E-06
1.112920 1.289892 6.004108E-06
1.113040 1.289892 4.960842E-06
1.113159 1.289892 5.170314E-06
1.113279 1.289891 4.724701E-06
1.113398 1.289891 5.715766E-06
1.113518 1.289892 4.447909E-06
1.113638 1.289891 4.517064E-06
1.113757 1.289891 6.454773E-06
1.113877 1.289892 5.460811E-06
1.113997 1.289891 3.960210E-06
1.114116 1.289891 7.305949E-06
1.114236 1.289893 6.954280E-06
1.114356 1.289893 3.608565E-06
1.114475 1.289891 3.201568E-06
1.114595 1.289890 5.081522E-06
1.114715 1.289891 6.456611E-06
1.114835 1.289892 6.212451E-06
1.114955 1.289892 5.087802E-06
1.115075 1.289892 5.358757E-06
1.115195 1.289891 5.175438E-06
1.115315 1.289892 6.695370E-06
1.115435 1.289892 6.065303E-06
1.115555 1.289893 6.503741E-06
1.115675 1.289893 5.616970E-06
1.115795 1.289893 4.952022E-06
1.115915 1.289893 4.305441E-06
1.116035 1.289892 3.934032E-06
1.116155 1.289892 5.047543E-06
1.116275 1.289892 5.065068E-06
1.116395 1.289892 4.152083E-06
1.116516 1.289891 3.429627E-06
1.116636 1.289891 6.458154E-06
1.116756 1.289893 5.720524E-06
1.116876 1.289892 2.867443E-06
1.116997 1.289891 5.206311E-06
1.117117 1.289892 5.364970E-06
1.117237 1.289892 5.996246E-06
1.117358 1.289893 5.623565E-06
1.117478 1.289892 4.419408E-06
1.117599 1.289893 5.856010E-06
1.117719 1.289893 4.036549E-06
1.117840 1.289892 4.014892E-06
1.117960 1.289892 4.590934E-06
1.118081 1.289892 5.562234E-06
1.118201 1.289893 5.331406E-06
1.118322 1.289893 3.450945E-06
1.118442 1.289892 3.343337E-06
1.118563 1.289891 4.335837E-06
1.118684 1.289891 5.591287E-06
1.118804 1.289892 5.916433E-06
1.118925 1.289892 4.824461E-06
1.119046 1.289892 4.471797E-06
1.119167 1.289892 5.563075E-06
1.119288 1.289893 4.433882E-06
1.119408 1.289892 3.711791E-06
1.119529 1.289891 4.220097E-06
1.119650 1.289892 6.316325E-06
1.119771 1.289893 4.288527E-06
1.119892 1.289892 2.961654E-06
1.120013 1.289891 3.448614E-06
1.120134 1.289891 4.260315E-06
1.120255 1.289891 5.309931E-06
1.120376 1.289892 4.933814E-06
1.120497 1.289891 3.616468E-06
1.120618 1.289892 6.323592E-06
1.120739 1.289892 4.680011E-06
1.120860 1.289893 5.123153E-06
1.120982 1.289893 3.759559E-06
1.121103 1.289892 3.508339E-06
1.121224 1.289892 4.451693E-06
1.121345 1.289892 4.915139E-06
1.121467 1.289892 4.160421E-06
1.121588 1.289892 5.227283E-06
1.121709 1.289893 4.324592E-06
1.121831 1.289892 2.184834E-06
1.121952 1.289891 3.407336E-06
1.122073 1.289891 4.908867E-06
1.122195 1.289892 5.459289E-06
1.122316 1.289893 3.620174E-06
1.122438 1.289892 1.428923E-06
1.122559 1.289891 3.594984E-06
1.122681 1.289891 4.108984E-06
1.122802 1.289892 4.445833E-06
1.122924 1.289892 4.290289E-06
1.123046 1.289892 3.221342E-06
1.123167 1.289892 3.109586E-06
1.123289 1.289892 3.562182E-06
1.123411 1.289891 2.659028E-06
1.123532 1.289891 3.920196E-06
1.123654 1.289892 4.109851E-06
1.123776 1.289892 2.817903E-06
1.123898 1.289891 2.984284E-06
1.124020 1.289891 3.760996E-06
1.124141 1.289892 4.238911E-06
1.124263 1.289892 3.508571E-06
1.124385 1.289892 2.263370E-06
1.124507 1.289891 3.070745E-06
1.124629 1.289892 4.559365E-06
1.124751 1.289892 1.911322E-06
1.124873 1.289891 2.159348E-06
1.124995 1.289891 2.979262E-06
1.125117 1.289891 3.263695E-06
1.125239 1.289892 4.066956E-06
1.125361 1.289892 1.399757E-06
1.125483 1.289891 1.415044E-06
1.125606 1.289891 1.685162E-06
1.125728 1.289890 1.148440E-06
1.125850 1.289890 1.605719E-06
1.125972 1.289889 2.868502E-06
1.126095 1.289890 2.937968E-06
1.126217 1.289890 3.420541E-06
1.126339 1.289890 1.639072E-06
1.126462 1.289890 3.703629E-06
1.126584 1.289890 2.369854E-06
1.126707 1.289890 2.913266E-06
1.126829 1.289890 3.476357E-06
1.126951 1.289891 2.745180E-06
1.127074 1.289890 2.154092E-06
1.127196 1.289890 2.363790E-06
1.127319 1.289890 1.998462E-06
1.127442 1.289890 2.052569E-06
1.127564 1.289890 2.280211E-06
1.127687 1.289890 2.861505E-06
1.127809 1.289890 1.459615E-06
1.127932 1.289889 2.363868E-06
1.128055 1.289890 2.242914E-06
1.128177 1.289890 2.886244E-06
1.128300 1.289890 5.831863E-07
1.128423 1.289889 1.527504E-06
1.128546 1.289889 1.428432E-06
1.128669 1.289889 1.597790E-06
1.128792 1.289889 1.651575E-06
1.128915 1.289888 5.514430E-07
1.129037 1.289888 1.500201E-06
1.129160 1.289888 3.267050E-06
1.129283 1.289889 2.160449E-06
1.129406 1.289888 1.398318E-06
1.129529 1.289888 1.910385E-06
1.129652 1.289888 2.621725E-06
1.129776 1.289888 2.338447E-06
1.129899 1.289888 1.203757E-06
1.130022 1.289887 2.416115E-06
1.130145 1.289888 4.071083E-06
1.130268 1.289889 3.300937E-06
1.130391 1.289889 2.463189E-06
1.130515 1.289889 9.825517E-07
1.130638 1.289888 1.717281E-06
1.130761 1.289888 9.421908E-07
1.130885 1.289888 2.602410E-06
1.131008 1.289888 1.862428E-06
1.131131 1.289888 2.348903E-06
1.131255 1.289888 3.139397E-06
1.131378 1.289888 2.426465E-07
1.131501 1.289887 1.086394E-06
1.131625 1.289887 2.971971E-06
1.131748 1.289888 1.941062E-06
1.131872 1.289888 2.426430E-07
1.131996 1.289887 1.199541E-06
1.132119 1.289887 2.369959E-06
1.132243 1.289887 1.715698E-06
1.132366 1.289887 2.137310E-06
1.132490 1.289887 9.876991E-07
1.132614 1.289887 1.546597E-06
1.132738 1.289887 1.800970E-06
1.132861 1.289887 5.187054E-07
1.132985 1.289886 8.256718E-07
1.133109 1.289886 2.748788E-06
1.133233 1.289887 2.788062E-06
1.133357 1.289887 9.303850E-07
1.133481 1.289886 7.012121E-07
1.133604 1.289886 2.070465E-06
1.133728 1.289886 2.768580E-06
1.133852 1.289886 1.408324E-06
1.133976 1.289886 7.054550E-07
1.134100 1.289885 1.841343E-06
1.134224 1.289886 2.398555E-06
1.134349 1.289886 1.068911E-06
1.134473 1.289885 5.661499E-07
1.134597 1.289884 1.792121E-06
1.134721 1.289885 2.803298E-06
1.134845 1.289885 1.159605E-06
1.134969 1.289885 3.127730E-06
1.135094 1.289885 3.097705E-06
1.135218 1.289885 1.724301E-06
1.135342 1.289885 3.054521E-06
1.135466 1.289885 2.892725E-06
1.135591 1.289886 2.519571E-06
1.135715 1.289886 2.693264E-06
1.135840 1.289886 1.056681E-06
1.135964 1.289885 2.154824E-06
1.136089 1.289885 1.257417E-06
1.136213 1.289885 2.792008E-06
1.136338 1.289885 1.099028E-06
1.136462 1.289885 1.585374E-06
1.136587 1.289884 1.043355E-06
1.136711 1.289884 2.062714E-06
1.136836 1.289885 1.943322E-06
1.136961 1.289884 8.343100E-07
1.137085 1.289884 1.795248E-06
1.137210 1.289884 1.817762E-06
1.137335 1.289884 1.106764E-06
1.137459 1.289884 1.763464E-06
1.137584 1.289884 1.581083E-06
1.137709 1.289883 1.694235E-06
1.137834 1.289884 2.374763E-06
1.137959 1.289883 1.030771E-06
1.138084 1.289883 2.218902E-06
1.138209 1.289883 2.659050E-06
1.138334 1.289884 1.912621E-06
1.138458 1.289883 1.469613E-06
1.138584 1.289883 8.634707E-07
1.138708 1.289882 2.827531E-06
1.138834 1.289883 1.991321E-06
1.138959 1.289882 1.848902E-06
1.139084 1.289882 1.866484E-06
1.139209 1.289882 3.590977E-06
1.139334 1.289883 2.468399E-06
1.139459 1.289883 3.008430E-06
1.139585 1.289882 1.097448E-06
1.139710 1.289882 3.436615E-06
1.139835 1.289883 4.720038E-06
1.139960 1.289884 2.836447E-06
1.140086 1.289883 9.630301E-07
1.140211 1.289882 1.647602E-06
1.140336 1.289882 2.015813E-06
1.140462 1.289882 8.502675E-07
1.140587 1.289881 2.647865E-06
1.140713 1.289882 3.169818E-06
1.140838 1.289882 3.141161E-06
1.140964 1.289882 2.448906E-06
1.141089 1.289882 1.655749E-06
1.141215 1.289881 2.136012E-06
1.141341 1.289881 2.630882E-06
1.141466 1.289881 2.382056E-06
1.141592 1.289881 4.061741E-06
1.141718 1.289882 3.401275E-06
1.141843 1.289882 3.188966E-06
1.141969 1.289882 1.927308E-06
1.142095 1.289881 1.071057E-06
