mukai1983
23
ne
Wavelength (microns) 	 real  imaginary
2.50000  1.245  4.0e-6
2.56410  1.241  1.0e-4
2.63158  1.221  4.0e-4
2.70270  1.188  0.004
2.77778  1.126  0.023
2.81690  1.082  0.056
2.85714  1.034  0.123
2.89855  1.024  0.236
2.94118  1.082  0.344
2.97619  1.157  0.405
2.99401  1.197  0.428
3.01205  1.241  0.447
3.03030  1.290  0.461
3.07692  1.429  0.454
3.12500  1.557  0.380
3.14465  1.595  0.340
3.18471  1.636  0.236
3.22581  1.630  0.138
3.25203  1.606  0.077
3.27869  1.570  0.045
3.33333  1.510  0.016
3.38983  1.473  0.007
3.44828  1.447  0.004
3.50877  1.430  0.003
3.57143  1.414  0.002
3.63636  1.403  0.003
3.70370  1.392  0.003
3.84615  1.376  0.005
4.16667  1.356  0.010
4.34783  1.348  0.017  
4.54545  1.352  0.023
4.76190  1.349  0.014
5.00000  1.340  0.010
5.26316  1.326  0.009
5.55556  1.303  0.016
5.88235  1.290  0.068
5.97015  1.308  0.079
6.06061  1.326  0.077
6.25000  1.337  0.060
6.66667  1.335  0.048
7.14286  1.331  0.043
7.69231  1.321  0.036
8.33333  1.303  0.032
8.69565  1.289  0.032
9.09091  1.272  0.033
9.52381  1.245  0.035
10.0000  1.201  0.041
10.5263  1.128  0.097
11.1111  1.114  0.218
11.7647  1.172  0.322
12.5000  1.274  0.395
13.3333  1.393  0.404
14.2857  1.487  0.362
15.3846  1.517  0.279
