perovich1991
273
ae
Wavelength (microns) 	 real  imaginary
2.50000e-01  0.00000e+00  1.33000e-08
2.55000e-01  0.00000e+00  1.32000e-08
2.60000e-01  0.00000e+00  1.31000e-08
2.65000e-01  0.00000e+00  1.32000e-08
2.70000e-01  0.00000e+00  1.31000e-08
2.75000e-01  0.00000e+00  1.28000e-08
2.80000e-01  0.00000e+00  1.26000e-08
2.85000e-01  0.00000e+00  1.23000e-08
2.90000e-01  0.00000e+00  1.17000e-08
2.95000e-01  0.00000e+00  1.15000e-08
3.00000e-01  0.00000e+00  1.11000e-08
3.05000e-01  0.00000e+00  1.02000e-08
3.10000e-01  0.00000e+00  9.28000e-09
3.15000e-01  0.00000e+00  8.65000e-09
3.20000e-01  0.00000e+00  8.32000e-09
3.25000e-01  0.00000e+00  7.73000e-09
3.30000e-01  0.00000e+00  7.73000e-09
3.35000e-01  0.00000e+00  7.34000e-09
3.40000e-01  0.00000e+00  7.12000e-09
3.45000e-01  0.00000e+00  6.46000e-09
3.50000e-01  0.00000e+00  6.27000e-09
3.55000e-01  0.00000e+00  5.49000e-09
3.60000e-01  0.00000e+00  5.18000e-09
3.65000e-01  0.00000e+00  4.58000e-09
3.70000e-01  0.00000e+00  4.13000e-09
3.75000e-01  0.00000e+00  3.79000e-09
3.80000e-01  0.00000e+00  3.43000e-09
3.85000e-01  0.00000e+00  3.25000e-09
3.90000e-01  0.00000e+00  3.12000e-09
3.95000e-01  0.00000e+00  2.99000e-09
4.00000e-01  0.00000e+00  2.93000e-09
