wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    0.30
0.44  0.71141E-08  0.66491E+00
azim,phase
0.000,1.69224
1.000,1.68964
2.000,1.68187
3.000,1.66898
4.000,1.65108
5.000,1.62833
7.500,1.55148
10.000,1.44933
12.500,1.32682
15.000,1.18965
17.500,1.04387
20.000,0.89549
25.000,0.61249
30.000,0.37516
35.000,0.20111
40.000,0.09116
50.000,0.01241
60.000,0.01390
70.000,0.01745
80.000,0.01085
90.000,0.00418
100.000,0.00200
110.000,0.00257
120.000,0.00346
130.000,0.00343
140.000,0.00238
145.000,0.00168
150.000,0.00102
155.000,0.00053
160.000,0.00024
162.500,0.00017
165.000,0.00015
167.500,0.00016
170.000,0.00020
172.500,0.00024
175.000,0.00028
176.000,0.00029
177.000,0.00030
178.000,0.00031
179.000,0.00031
180.000,0.00031
