Wavelength (microns) 	 real  imaginary
2.49718e+00   1.23330e+00   5.01000e-03
2.49778e+00   1.23312e+00   4.70000e-03
2.49838e+00   1.23280e+00   4.24000e-03
2.49898e+00   1.23239e+00   4.45000e-03
2.50000e+00   1.23200e+00   4.64000e-03
2.50139e+00   1.23250e+00   5.38000e-03
2.50200e+00   1.23263e+00   4.82000e-03
2.50260e+00   1.23244e+00   4.67000e-03
2.50320e+00   1.23227e+00   4.77000e-03
2.50381e+00   1.23214e+00   4.69000e-03
2.50441e+00   1.23228e+00   5.10000e-03
2.50502e+00   1.23240e+00   4.71000e-03
2.50562e+00   1.23225e+00   4.49000e-03
2.50623e+00   1.23206e+00   4.62000e-03
2.50683e+00   1.23182e+00   4.37000e-03
2.50744e+00   1.23164e+00   4.86000e-03
2.50805e+00   1.23182e+00   5.09000e-03
2.50865e+00   1.23212e+00   5.01000e-03
2.50926e+00   1.23258e+00   5.10000e-03
2.50987e+00   1.23270e+00   3.98000e-03
2.51047e+00   1.23204e+00   3.45000e-03
2.51108e+00   1.23126e+00   3.63000e-03
2.51169e+00   1.23093e+00   4.08000e-03
2.51230e+00   1.23129e+00   4.76000e-03
2.51291e+00   1.23180e+00   4.20000e-03
2.51352e+00   1.23131e+00   3.26000e-03
2.51413e+00   1.23025e+00   3.44000e-03
2.51474e+00   1.23004e+00   4.70000e-03
2.51535e+00   1.23107e+00   5.24000e-03
2.51596e+00   1.23157e+00   3.97000e-03
2.51657e+00   1.23043e+00   2.83000e-03
2.51718e+00   1.22955e+00   4.30000e-03
2.51779e+00   1.23028e+00   5.13000e-03
2.51840e+00   1.23085e+00   4.19000e-03
2.51901e+00   1.23010e+00   3.50000e-03
2.51962e+00   1.22971e+00   4.49000e-03
2.52024e+00   1.23014e+00   4.73000e-03
2.52085e+00   1.23040e+00   4.10000e-03
2.52146e+00   1.23019e+00   3.99000e-03
2.52207e+00   1.22984e+00   3.55000e-03
2.52269e+00   1.22924e+00   3.68000e-03
2.52330e+00   1.22879e+00   4.14000e-03
2.52392e+00   1.22908e+00   5.05000e-03
2.52453e+00   1.23011e+00   5.21000e-03
2.52515e+00   1.23052e+00   3.81000e-03
2.52576e+00   1.22976e+00   2.96000e-03
2.52638e+00   1.22885e+00   3.13000e-03
2.52699e+00   1.22821e+00   3.34000e-03
2.52761e+00   1.22789e+00   4.07000e-03
2.52822e+00   1.22803e+00   4.67000e-03
2.52884e+00   1.22848e+00   4.94000e-03
