wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    3.00
0.44  0.60909E-06  0.51464E+00
azim,phase
0.000,147.93742
1.000,126.94131
2.000,78.16234
3.000,31.10896
4.000,5.54741
5.000,0.11805
7.500,1.66822
10.000,0.39537
12.500,0.12037
15.000,0.23742
17.500,0.03492
20.000,0.07781
25.000,0.02013
30.000,0.01586
35.000,0.01723
40.000,0.01307
50.000,0.00590
60.000,0.00449
70.000,0.00312
80.000,0.00226
90.000,0.00188
100.000,0.00166
110.000,0.00153
120.000,0.00145
130.000,0.00141
140.000,0.00139
145.000,0.00138
150.000,0.00138
155.000,0.00138
160.000,0.00138
162.500,0.00138
165.000,0.00138
167.500,0.00138
170.000,0.00138
172.500,0.00138
175.000,0.00138
176.000,0.00138
177.000,0.00138
178.000,0.00138
179.000,0.00138
180.000,0.00138
