wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =   10.00
0.44  0.65014E-05  0.52793E+00
azim,phase
0.000,1113.61169
1.000,165.13428
2.000,19.51012
3.000,2.11343
4.000,0.11474
5.000,0.57776
7.500,0.18256
10.000,0.08684
12.500,0.05225
15.000,0.03627
17.500,0.02748
20.000,0.02198
25.000,0.01539
30.000,0.01147
35.000,0.00881
40.000,0.00689
50.000,0.00433
60.000,0.00287
70.000,0.00206
80.000,0.00158
90.000,0.00129
100.000,0.00113
110.000,0.00103
120.000,0.00098
130.000,0.00095
140.000,0.00093
145.000,0.00093
150.000,0.00093
155.000,0.00093
160.000,0.00093
162.500,0.00093
165.000,0.00093
167.500,0.00093
170.000,0.00093
172.500,0.00093
175.000,0.00093
176.000,0.00093
177.000,0.00093
178.000,0.00093
179.000,0.00093
180.000,0.00093
