clapp1995
200
ne
Wavelength (microns) 	 real  imaginary
2.49767e+00  1.23242e+00  6.01000e-03
2.49842e+00  1.23225e+00  6.26000e-03
2.49902e+00  1.23213e+00  6.45000e-03
2.49962e+00  1.23204e+00  6.63000e-03
2.50023e+00  1.23198e+00  6.79000e-03
2.50083e+00  1.23197e+00  6.93000e-03
2.50143e+00  1.23198e+00  7.05000e-03
2.50204e+00  1.23202e+00  7.17000e-03
2.50264e+00  1.23207e+00  7.29000e-03
2.50325e+00  1.23214e+00  7.40000e-03
2.50385e+00  1.23224e+00  7.47000e-03
2.50446e+00  1.23236e+00  7.51000e-03
2.50506e+00  1.23248e+00  7.49000e-03
2.50567e+00  1.23260e+00  7.44000e-03
2.50627e+00  1.23271e+00  7.35000e-03
2.50688e+00  1.23279e+00  7.23000e-03
2.50749e+00  1.23285e+00  7.07000e-03
2.50809e+00  1.23289e+00  6.88000e-03
2.50870e+00  1.23289e+00  6.67000e-03
2.50931e+00  1.23285e+00  6.45000e-03
2.50992e+00  1.23276e+00  6.22000e-03
2.51052e+00  1.23263e+00  5.98000e-03
2.51113e+00  1.23243e+00  5.74000e-03
2.51174e+00  1.23218e+00  5.52000e-03
2.51235e+00  1.23188e+00  5.34000e-03
2.51296e+00  1.23153e+00  5.22000e-03
2.51357e+00  1.23116e+00  5.18000e-03
2.51418e+00  1.23079e+00  5.22000e-03
2.51479e+00  1.23044e+00  5.34000e-03
2.51540e+00  1.23015e+00  5.54000e-03
2.51601e+00  1.22993e+00  5.78000e-03
2.51662e+00  1.22980e+00  6.04000e-03
2.51723e+00  1.22976e+00  6.29000e-03
2.51784e+00  1.22978e+00  6.50000e-03
2.51846e+00  1.22987e+00  6.63000e-03
2.51907e+00  1.22997e+00  6.68000e-03
2.51968e+00  1.23008e+00  6.66000e-03
2.52029e+00  1.23016e+00  6.59000e-03
2.52091e+00  1.23021e+00  6.47000e-03
2.52152e+00  1.23022e+00  6.31000e-03
2.52213e+00  1.23018e+00  6.11000e-03
2.52275e+00  1.23008e+00  5.90000e-03
2.52336e+00  1.22993e+00  5.71000e-03
2.52398e+00  1.22974e+00  5.53000e-03
2.52459e+00  1.22951e+00  5.38000e-03
2.52521e+00  1.22923e+00  5.23000e-03
2.52582e+00  1.22892e+00  5.11000e-03
2.52644e+00  1.22856e+00  5.05000e-03
2.52705e+00  1.22820e+00  5.06000e-03
2.52767e+00  1.22783e+00  5.15000e-03
2.52829e+00  1.22750e+00  5.31000e-03
2.52890e+00  1.22721e+00  5.51000e-03
2.52952e+00  1.22697e+00  5.74000e-03
2.53014e+00  1.22680e+00  6.00000e-03
2.53076e+00  1.22670e+00  6.27000e-03
2.53138e+00  1.22668e+00  6.53000e-03
2.53199e+00  1.22672e+00  6.73000e-03
2.53261e+00  1.22681e+00  6.85000e-03
2.53323e+00  1.22691e+00  6.89000e-03
2.53385e+00  1.22698e+00  6.85000e-03
2.53447e+00  1.22701e+00  6.74000e-03
2.53509e+00  1.22697e+00  6.60000e-03
2.53571e+00  1.22686e+00  6.45000e-03
2.53633e+00  1.22666e+00  6.31000e-03
2.53695e+00  1.22641e+00  6.23000e-03
2.53758e+00  1.22614e+00  6.22000e-03
2.53820e+00  1.22587e+00  6.29000e-03
2.53882e+00  1.22564e+00  6.41000e-03
2.53944e+00  1.22545e+00  6.57000e-03
2.54006e+00  1.22531e+00  6.73000e-03
2.54069e+00  1.22521e+00  6.88000e-03
2.54131e+00  1.22513e+00  7.01000e-03
2.54193e+00  1.22506e+00  7.11000e-03
2.54256e+00  1.22499e+00  7.20000e-03
2.54318e+00  1.22492e+00  7.30000e-03
2.54381e+00  1.22484e+00  7.41000e-03
2.54443e+00  1.22478e+00  7.53000e-03
2.54506e+00  1.22475e+00  7.66000e-03
2.54568e+00  1.22476e+00  7.79000e-03
2.54631e+00  1.22480e+00  7.91000e-03
2.54693e+00  1.22489e+00  7.99000e-03
2.54756e+00  1.22499e+00  8.01000e-03
2.54818e+00  1.22509e+00  7.97000e-03
2.54881e+00  1.22514e+00  7.88000e-03
2.54944e+00  1.22516e+00  7.76000e-03
2.55007e+00  1.22515e+00  7.65000e-03
2.55069e+00  1.22511e+00  7.55000e-03
2.55132e+00  1.22505e+00  7.45000e-03
2.55195e+00  1.22498e+00  7.38000e-03
2.55258e+00  1.22492e+00  7.32000e-03
2.55321e+00  1.22488e+00  7.28000e-03
2.55384e+00  1.22486e+00  7.22000e-03
2.55447e+00  1.22486e+00  7.12000e-03
2.55510e+00  1.22486e+00  6.98000e-03
2.55573e+00  1.22484e+00  6.77000e-03
2.55636e+00  1.22476e+00  6.51000e-03
2.55699e+00  1.22462e+00  6.23000e-03
2.55762e+00  1.22441e+00  5.98000e-03
2.55825e+00  1.22415e+00  5.75000e-03
2.55888e+00  1.22384e+00  5.56000e-03
2.55951e+00  1.22349e+00  5.40000e-03
2.56015e+00  1.22312e+00  5.30000e-03
2.56078e+00  1.22273e+00  5.25000e-03
2.56141e+00  1.22234e+00  5.27000e-03
2.56205e+00  1.22197e+00  5.35000e-03
2.56268e+00  1.22162e+00  5.48000e-03
2.56331e+00  1.22131e+00  5.63000e-03
2.56395e+00  1.22104e+00  5.81000e-03
2.56458e+00  1.22081e+00  6.03000e-03
2.56522e+00  1.22063e+00  6.27000e-03
2.56585e+00  1.22051e+00  6.52000e-03
2.56649e+00  1.22044e+00  6.75000e-03
2.56712e+00  1.22043e+00  6.95000e-03
2.56776e+00  1.22046e+00  7.11000e-03
2.56840e+00  1.22053e+00  7.24000e-03
2.56903e+00  1.22062e+00  7.34000e-03
2.56967e+00  1.22073e+00  7.38000e-03
