he2022
105
pe
wavel  k
0.25878  n  1.28377
0.26757  n  1.27983
0.27635  n  1.27598
0.28513  n  1.27281
0.29392  n  1.27009
0.3027  n  1.26759
0.31148  n  1.26528
0.32027  n  1.26321
0.32905  n  1.26121
0.33784  n  1.25939
0.3466199999  n  1.25776
0.3554  n  1.25621
0.36419  n  1.25477
0.37297  n  1.2534
0.3817499999  n  1.25213
0.39054  n  1.25095
0.39932  n  1.24983
0.4081  n  1.24878
0.41689  n  1.24777
0.4256700001  n  1.24681
0.43445  n  1.24591
0.44324  n  1.24505
0.4520199999  n  1.24426
0.4608  n  1.24348
0.4695900001  n  1.24267
0.4783700001  n  1.24203
0.4871499999  n  1.24133
0.4959400001  n  1.2406
0.5047200001  n  1.23997
0.5135100001  n  1.23932
0.5222899999  n  1.23874
0.5310699999  n  1.23816
0.53986  n  1.23761
0.5486399999  n  1.23703
0.55742  n  1.23651
0.5662099999  n  1.23598
0.57499  n  1.23548
0.58377  n  1.23495
0.5925599999  n  1.23448
0.60134  n  1.23397
0.6101199999  n  1.23358
0.6189099999  n  1.23305
0.62769  n  1.23263
0.6364700001  n  1.23213
0.6452600001  n  1.23185
0.6540400002  n  1.23127
0.6628299998  n  1.23097
0.6716100001  n  1.23055
0.6803900001  n  1.23007
0.6891799999  n  1.22969
0.6979600001  n  1.22928
0.7067400002  n  1.22879
0.71553  n  1.22855
0.7243100002  n  1.22814
0.7330900001  n  1.22769
0.7418800002  n  1.22735
0.7506599998  n  1.22707
0.7594399998  n  1.22686
0.7682300001  n  1.22664
0.7770100003  n  1.22642
0.7857899999  n  1.2262
0.7945800001  n  1.22598
0.8033599999  n  1.22578
0.81214  n  1.22568
0.8209299998  n  1.22558
0.8297100001  n  1.22548
0.8384999998  n  1.22537
0.8472799999  n  1.22527
0.8560599999  n  1.22517
0.8648500003  n  1.22507
0.8736299998  n  1.22497
0.8824100001  n  1.22487
0.8912000002  n  1.22477
0.89998  n  1.22467
0.9087599998  n  1.22457
0.9175500002  n  1.22446
0.9263299996  n  1.22435
0.9351099997  n  1.22425
0.9439000001  n  1.22414
0.9526800004  n  1.22403
0.9614599999  n  1.22392
0.9702500004  n  1.22382
0.9790299998  n  1.22371
