mastrapa2008Ic
100
ne
Wavelength (microns) 	 real  imaginary
1.1111962e+00  1.3124894e+00  1.5059200e-06
1.1113154e+00  1.3124878e+00  5.0400917e-07
1.1114346e+00  1.3124859e+00  1.4254282e-06
1.1115538e+00  1.3124844e+00  1.5156678e-06
1.1116730e+00  1.3124828e+00  1.2972306e-06
1.1117923e+00  1.3124810e+00  1.3908544e-06
1.1119117e+00  1.3124793e+00  1.5304004e-06
1.1120309e+00  1.3124776e+00  1.3904209e-06
1.1121503e+00  1.3124762e+00  1.7197597e-06
1.1122696e+00  1.3124744e+00  8.7806353e-07
1.1123890e+00  1.3124723e+00  1.0886852e-06
1.1125085e+00  1.3124707e+00  1.2852357e-06
1.1126279e+00  1.3124688e+00  7.3964048e-07
1.1127474e+00  1.3124667e+00  9.7642953e-07
1.1128669e+00  1.3124650e+00  1.1329846e-06
1.1129864e+00  1.3124632e+00  9.7663928e-07
1.1131059e+00  1.3124613e+00  8.1563576e-07
1.1132255e+00  1.3124593e+00  1.2654071e-06
1.1133451e+00  1.3124578e+00  1.6574078e-06
1.1134648e+00  1.3124563e+00  1.2016741e-06
1.1135844e+00  1.3124545e+00  1.4472106e-06
1.1137041e+00  1.3124526e+00  3.6460563e-07
1.1138238e+00  1.3124503e+00  1.2063745e-06
1.1139435e+00  1.3124489e+00  1.7651769e-06
1.1140633e+00  1.3124475e+00  1.3678680e-06
1.1141831e+00  1.3124456e+00  5.0321069e-07
1.1143029e+00  1.3124433e+00  3.7593145e-07
1.1144227e+00  1.3124413e+00  7.5274727e-07
1.1145426e+00  1.3124394e+00  8.3428824e-07
1.1146625e+00  1.3124375e+00  8.3832686e-07
1.1147825e+00  1.3124357e+00  1.2478873e-06
1.1149023e+00  1.3124340e+00  7.2858217e-07
1.1150223e+00  1.3124319e+00  7.0131591e-07
1.1151423e+00  1.3124299e+00  1.3493458e-06
1.1152623e+00  1.3124284e+00  1.7089014e-06
1.1153823e+00  1.3124270e+00  1.9597283e-06
1.1155024e+00  1.3124253e+00  9.6587166e-07
1.1156225e+00  1.3124235e+00  1.6944531e-06
1.1157426e+00  1.3124218e+00  1.0037074e-06
1.1158627e+00  1.3124200e+00  1.0404132e-06
1.1159829e+00  1.3124180e+00  2.2864299e-07
1.1161031e+00  1.3124158e+00  3.9061612e-07
1.1162233e+00  1.3124136e+00  4.0641805e-07
1.1163436e+00  1.3124118e+00  1.5644190e-06
1.1164638e+00  1.3124105e+00  1.2879572e-06
1.1165841e+00  1.3124087e+00  9.3221445e-07
1.1167045e+00  1.3124068e+00  7.1506247e-07
1.1168247e+00  1.3124049e+00  8.1358360e-07
1.1169451e+00  1.3124032e+00  7.8782040e-07
1.1170655e+00  1.3124012e+00  3.0301868e-07
1.1171860e+00  1.3123989e+00  1.4202197e-07
1.1173065e+00  1.3123969e+00  9.8704731e-07
1.1174270e+00  1.3123957e+00  1.6774801e-06
1.1175475e+00  1.3123939e+00  2.2924507e-08
1.1176680e+00  1.3123918e+00  8.0050114e-07
1.1177886e+00  1.3123900e+00  4.0904254e-07
1.1179091e+00  1.3123879e+00  2.0848054e-07
1.1180298e+00  1.3123859e+00  3.2825395e-07
