wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    0.44
0.44  0.14337E-07  0.46645E+00
azim,phase
0.000,3.89746
1.000,3.88361
2.000,3.84229
3.000,3.77427
4.000,3.68078
5.000,3.56350
7.500,3.18078
10.000,2.70424
12.500,2.18173
15.000,1.66109
17.500,1.18361
20.000,0.77928
25.000,0.24167
30.000,0.03057
35.000,0.00968
40.000,0.04058
50.000,0.03585
60.000,0.00419
70.000,0.00691
80.000,0.00655
90.000,0.00280
100.000,0.00249
110.000,0.00272
120.000,0.00249
130.000,0.00211
140.000,0.00194
145.000,0.00200
150.000,0.00211
155.000,0.00220
160.000,0.00221
162.500,0.00219
165.000,0.00216
167.500,0.00212
170.000,0.00208
172.500,0.00205
175.000,0.00202
176.000,0.00201
177.000,0.00201
178.000,0.00200
179.000,0.00200
180.000,0.00200
