wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =   10.00
0.44  0.64857E-05  0.53924E+00
azim,phase
0.000,1093.82446
1.000,163.14168
2.000,19.17805
3.000,2.05313
4.000,0.13214
5.000,0.60177
7.500,0.19685
10.000,0.09656
12.500,0.05949
15.000,0.04201
17.500,0.03225
20.000,0.02609
25.000,0.01866
30.000,0.01420
35.000,0.01115
40.000,0.00891
50.000,0.00587
60.000,0.00408
70.000,0.00302
80.000,0.00237
90.000,0.00197
100.000,0.00173
110.000,0.00159
120.000,0.00151
130.000,0.00147
140.000,0.00145
145.000,0.00144
150.000,0.00144
155.000,0.00144
160.000,0.00144
162.500,0.00144
165.000,0.00144
167.500,0.00143
170.000,0.00143
172.500,0.00143
175.000,0.00143
176.000,0.00143
177.000,0.00143
178.000,0.00143
179.000,0.00143
180.000,0.00143
