wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    1.00
0.44  0.70516E-07  0.49270E+00
azim,phase
0.000,18.01641
1.000,17.70019
2.000,16.77939
3.000,15.33410
4.000,13.48680
5.000,11.38762
7.500,6.06599
10.000,2.15374
12.500,0.33957
15.000,0.03510
17.500,0.22954
20.000,0.29370
25.000,0.03815
30.000,0.05324
35.000,0.03914
40.000,0.00987
50.000,0.00686
60.000,0.00756
70.000,0.00548
80.000,0.00331
90.000,0.00265
100.000,0.00245
110.000,0.00220
120.000,0.00214
130.000,0.00202
140.000,0.00201
145.000,0.00197
150.000,0.00201
155.000,0.00203
160.000,0.00198
162.500,0.00196
165.000,0.00196
167.500,0.00197
170.000,0.00199
172.500,0.00201
175.000,0.00203
176.000,0.00204
177.000,0.00204
178.000,0.00204
179.000,0.00205
180.000,0.00205
