mastrapa2008Ic
130
ne
Wavelength (microns) 	 real  imaginary
1.1111962e+00  1.3126996e+00  1.0541223e-08
1.1113154e+00  1.3126978e+00  1.0542353e-08
1.1114346e+00  1.3126960e+00  1.0543484e-08
1.1115538e+00  1.3126943e+00  1.0544615e-08
1.1116730e+00  1.3126925e+00  1.0545746e-08
1.1117923e+00  1.3126907e+00  1.0546878e-08
1.1119117e+00  1.3126889e+00  1.0548009e-08
1.1120309e+00  1.3126872e+00  1.0549141e-08
1.1121503e+00  1.3126854e+00  1.0550273e-08
1.1122696e+00  1.3126836e+00  1.0551406e-08
1.1123890e+00  1.3126818e+00  1.0552539e-08
1.1125085e+00  1.3126800e+00  1.0553671e-08
1.1126279e+00  1.3126783e+00  1.0554805e-08
1.1127474e+00  1.3126765e+00  1.0555938e-08
1.1128669e+00  1.3126746e+00  1.0557072e-08
1.1129864e+00  1.3126729e+00  1.0558205e-08
1.1131059e+00  1.3126711e+00  1.0559340e-08
1.1132255e+00  1.3126694e+00  1.0560474e-08
1.1133451e+00  1.3126676e+00  1.0561608e-08
1.1134648e+00  1.3126658e+00  1.0562743e-08
1.1135844e+00  1.3126640e+00  1.0563878e-08
1.1137041e+00  1.3126622e+00  1.0565014e-08
1.1138238e+00  1.3126605e+00  1.0566149e-08
1.1139435e+00  1.3126585e+00  1.0567285e-08
1.1140633e+00  1.3126568e+00  1.0568421e-08
1.1141831e+00  1.3126551e+00  1.0569557e-08
1.1143029e+00  1.3126533e+00  1.0570694e-08
1.1144227e+00  1.3126515e+00  1.0571831e-08
1.1145426e+00  1.3126497e+00  1.0572968e-08
1.1146625e+00  1.3126479e+00  1.0574105e-08
1.1147825e+00  1.3126462e+00  1.0575243e-08
1.1149023e+00  1.3126442e+00  1.0576380e-08
1.1150223e+00  1.3126425e+00  1.0577518e-08
1.1151423e+00  1.3126407e+00  1.0578657e-08
1.1152623e+00  1.3126389e+00  1.0579795e-08
1.1153823e+00  1.3126371e+00  1.0580934e-08
1.1155024e+00  1.3126353e+00  1.0582073e-08
1.1156225e+00  1.3126335e+00  1.0583212e-08
1.1157426e+00  1.3126317e+00  1.0584352e-08
1.1158627e+00  1.3126299e+00  1.0585491e-08
1.1159829e+00  1.3126281e+00  1.0586631e-08
1.1161031e+00  1.3126262e+00  1.0587772e-08
1.1162233e+00  1.3126245e+00  1.0588912e-08
1.1163436e+00  1.3126227e+00  1.0590053e-08
1.1164638e+00  1.3126209e+00  1.0591194e-08
1.1165841e+00  1.3126191e+00  1.0592335e-08
1.1167045e+00  1.3126173e+00  1.0593476e-08
1.1168247e+00  1.3126155e+00  1.0594618e-08
1.1169451e+00  1.3126137e+00  1.0595760e-08
1.1170655e+00  1.3126119e+00  1.0596902e-08
1.1171860e+00  1.3126101e+00  1.0598045e-08
1.1173065e+00  1.3126082e+00  1.0599187e-08
1.1174270e+00  1.3126065e+00  1.0600330e-08
1.1175475e+00  1.3126045e+00  1.0601473e-08
1.1176680e+00  1.3126028e+00  1.0602617e-08
1.1177886e+00  1.3126010e+00  1.0603761e-08
1.1179091e+00  1.3125992e+00  1.0604904e-08
1.1180298e+00  1.3125974e+00  1.0606049e-08
1.1181504e+00  1.3125956e+00  1.0607193e-08
1.1182711e+00  1.3125938e+00  1.0608338e-08
1.1183918e+00  1.3125920e+00  1.0609483e-08
1.1185125e+00  1.3125901e+00  1.0610628e-08
1.1186332e+00  1.3125883e+00  1.0611773e-08
1.1187540e+00  1.3125865e+00  1.0612919e-08
1.1188748e+00  1.3125848e+00  1.0614065e-08
1.1189955e+00  1.3125829e+00  1.0615211e-08
1.1191164e+00  1.3125811e+00  1.0616357e-08
1.1192373e+00  1.3125792e+00  1.0617504e-08
1.1193582e+00  1.3125774e+00  1.0618651e-08
1.1194791e+00  1.3125756e+00  1.0619798e-08
1.1196001e+00  1.3125738e+00  1.0620945e-08
1.1197211e+00  1.3125720e+00  1.0622093e-08
1.1198421e+00  1.3125701e+00  1.0623241e-08
1.1199630e+00  1.3125683e+00  1.0624389e-08
1.1200840e+00  1.3125665e+00  1.0625537e-08
1.1202052e+00  1.3125647e+00  1.0626686e-08
1.1203263e+00  1.3125628e+00  1.0627835e-08
1.1204475e+00  1.3125610e+00  1.0628984e-08
1.1205686e+00  1.3125592e+00  1.0630133e-08
1.1206897e+00  1.3125573e+00  1.0631283e-08
1.1208110e+00  1.3125556e+00  1.0632433e-08
1.1209322e+00  1.3125536e+00  1.0633583e-08
1.1210535e+00  1.3125519e+00  1.0634733e-08
1.1211748e+00  1.3125499e+00  1.0635884e-08
1.1212960e+00  1.3125482e+00  1.0637035e-08
1.1214175e+00  1.3125464e+00  1.0638186e-08
1.1215388e+00  1.3125445e+00  1.0639337e-08
1.1216602e+00  1.3125427e+00  1.0640489e-08
1.1217817e+00  1.3125409e+00  1.0641640e-08
1.1219031e+00  1.3125390e+00  1.0642793e-08
1.1220247e+00  1.3125372e+00  1.0643945e-08
1.1221461e+00  1.3125354e+00  1.0645098e-08
1.1222676e+00  1.3125335e+00  1.0646250e-08
1.1223892e+00  1.3125317e+00  1.0647403e-08
1.1225107e+00  1.3125298e+00  1.0648557e-08
1.1226323e+00  1.3125280e+00  1.0649710e-08
1.1227540e+00  1.3125262e+00  1.0650864e-08
1.1228756e+00  1.3125243e+00  1.0652018e-08
1.1229973e+00  1.3125225e+00  1.0653173e-08
1.1231190e+00  1.3125206e+00  1.0654327e-08
1.1232408e+00  1.3125188e+00  1.0655482e-08
1.1233625e+00  1.3125169e+00  1.0656637e-08
1.1234843e+00  1.3125151e+00  1.0657793e-08
1.1236061e+00  1.3125134e+00  1.0658948e-08
1.1237280e+00  1.3125114e+00  1.0660104e-08
1.1238499e+00  1.3125097e+00  1.0661260e-08
1.1239717e+00  1.3125077e+00  1.0662417e-08
1.1240937e+00  1.3125058e+00  1.0663573e-08
1.1242156e+00  1.3125041e+00  1.0664730e-08
1.1243376e+00  1.3125021e+00  1.0665887e-08
1.1244596e+00  1.3125004e+00  1.0667044e-08
1.1245816e+00  1.3124985e+00  1.0668202e-08
1.1247036e+00  1.3124965e+00  1.0669360e-08
1.1248258e+00  1.3124948e+00  1.0670518e-08
1.1249479e+00  1.3124928e+00  1.0671676e-08
1.1250700e+00  1.3124911e+00  1.0672835e-08
1.1251922e+00  1.3124892e+00  1.0673994e-08
1.1253144e+00  1.3124872e+00  1.0675153e-08
1.1254365e+00  1.3124855e+00  4.9520160e-08
1.1255589e+00  1.3124835e+00  7.1706928e-08
1.1256810e+00  1.3124818e+00  1.0678632e-08
1.1258034e+00  1.3124799e+00  1.0679792e-08
1.1259257e+00  1.3124781e+00  1.0680952e-08
1.1260480e+00  1.3124762e+00  1.0682113e-08
1.1261704e+00  1.3124743e+00  1.0683274e-08
1.1262928e+00  1.3124725e+00  1.0684435e-08
1.1264153e+00  1.3124706e+00  1.0685596e-08
1.1265377e+00  1.3124686e+00  1.0686758e-08
1.1266602e+00  1.3124667e+00  1.0687920e-08
1.1267827e+00  1.3124650e+00  7.1909206e-08
1.1269052e+00  1.3124632e+00  4.5064019e-07
1.1270278e+00  1.3124614e+00  1.0691407e-08
1.1271504e+00  1.3124595e+00  1.0692570e-08
1.1272730e+00  1.3124576e+00  5.3997159e-08
1.1273956e+00  1.3124557e+00  1.0694897e-08
1.1275183e+00  1.3124539e+00  1.0696060e-08
1.1276410e+00  1.3124520e+00  1.0697224e-08
1.1277637e+00  1.3124501e+00  7.0111909e-08
1.1278864e+00  1.3124481e+00  1.0699553e-08
1.1280092e+00  1.3124464e+00  1.0700717e-08
1.1281320e+00  1.3124444e+00  1.0701882e-08
1.1282548e+00  1.3124425e+00  1.0703048e-08
1.1283777e+00  1.3124408e+00  1.0704213e-08
1.1285006e+00  1.3124388e+00  1.0705379e-08
1.1286235e+00  1.3124371e+00  1.0706545e-08
1.1287464e+00  1.3124352e+00  1.0707711e-08
1.1288694e+00  1.3124332e+00  6.9411946e-08
1.1289924e+00  1.3124313e+00  1.0710044e-08
1.1291153e+00  1.3124294e+00  1.0711211e-08
