wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =   10.00
0.44  0.65033E-05  0.53246E+00
azim,phase
0.000,1107.40796
1.000,164.10968
2.000,19.41267
3.000,2.11448
4.000,0.11920
5.000,0.57600
7.500,0.18331
10.000,0.08801
12.500,0.05347
15.000,0.03744
17.500,0.02859
20.000,0.02302
25.000,0.01633
30.000,0.01231
35.000,0.00957
40.000,0.00758
50.000,0.00491
60.000,0.00335
70.000,0.00247
80.000,0.00194
90.000,0.00162
100.000,0.00143
110.000,0.00132
120.000,0.00126
130.000,0.00123
140.000,0.00121
145.000,0.00121
150.000,0.00120
155.000,0.00120
160.000,0.00120
162.500,0.00120
165.000,0.00120
167.500,0.00120
170.000,0.00120
172.500,0.00120
175.000,0.00120
176.000,0.00120
177.000,0.00120
178.000,0.00120
179.000,0.00120
180.000,0.00120
