wavelength      0.44      0.45    0.0100     1    41
Mie, single particle  R0 =    3.00
0.44  0.60922E-06  0.51814E+00
azim,phase
0.000,146.92104
1.000,126.06988
2.000,77.62878
3.000,30.90279
4.000,5.51875
5.000,0.12369
7.500,1.65718
10.000,0.39701
12.500,0.12098
15.000,0.23966
17.500,0.03600
20.000,0.07932
25.000,0.02162
30.000,0.01746
35.000,0.01877
40.000,0.01444
50.000,0.00657
60.000,0.00467
70.000,0.00340
80.000,0.00263
90.000,0.00221
100.000,0.00195
110.000,0.00180
120.000,0.00171
130.000,0.00167
140.000,0.00164
145.000,0.00164
150.000,0.00163
155.000,0.00163
160.000,0.00163
162.500,0.00163
165.000,0.00163
167.500,0.00163
170.000,0.00163
172.500,0.00163
175.000,0.00163
176.000,0.00163
177.000,0.00163
178.000,0.00163
179.000,0.00163
180.000,0.00163
