he2022

30

pe

wavel  k
0.25661  n  0.000641
0.26317  n  0.000641
0.26974  n  0.000641
0.2763  n  0.000641
0.28287  n  0.000641
0.28943  n  0.000641
0.296  n  0.000641
0.30257  n  0.000641
0.30913  n  0.000641
0.3157  n  0.000641
0.32226  n  0.000641
0.32883  n  0.000641
0.33539  n  0.000641
0.34196  n  0.000641
0.34853  n  0.000641
0.3550900001  n  0.000641
0.36166  n  0.000641
0.3682199999  n  0.000641
0.37479  n  0.000641
0.38135  n  0.000641
0.38792  n  0.000641
0.3944900001  n  0.000641
0.4010500001  n  0.000641
0.40762  n  0.000641
0.41418  n  0.000641
0.42075  n  0.000641
0.42731  n  0.000641
0.43388  n  0.000641
0.44044  n  0.000641
0.4470099999  n  0.000641
0.45358  n  0.000641
0.46014  n  0.000641
0.4667099999  n  0.000641
0.47327  n  0.000641
0.4798400001  n  0.000641
0.4863999999  n  0.000641
0.4929700001  n  0.000641
0.4995400001  n  0.000641
0.5061  n  0.000641
0.51267  n  0.000641
0.51923  n  0.000641
0.5257999999  n  0.000641
0.5323600001  n  0.000641
0.5389300001  n  0.000641
0.5455000001  n  0.000641
0.55206  n  0.000641
0.55863  n  0.000641
0.56519  n  0.000641
0.5717600001  n  0.000641
0.5783200001  n  0.000641
0.5848899999  n  0.000641
0.5914600001  n  0.000641
0.5980199999  n  0.000641
0.6045899999  n  0.000641
0.6111499999  n  0.000641
0.6177199999  n  0.000641
0.6242799999  n  0.000641
0.6308500002  n  0.000641
0.63742  n  0.000641
0.64398  n  0.000641
0.65055  n  0.000641
0.6571100001  n  0.000641
0.66368  n  0.000641
0.6702399998  n  0.000641
0.6768100001  n  0.000641
0.6833800002  n  0.000641
0.6899400001  n  0.000641
0.69651  n  0.000641
0.7030700002  n  0.000641
0.7096399998  n  0.000641
0.7162000002  n  0.000641
0.72277  n  0.000641
0.7293399999  n  0.000641
0.7358999998  n  0.000641
0.7424700001  n  0.000641
0.74903  n  0.000641
0.7555999998  n  0.000641
0.7621599999  n  0.000641
0.7687300002  n  0.000641
0.7753000001  n  0.000641
0.7818599998  n  0.000641
0.7884299998  n  0.000641
0.7949899997  n  0.000641
0.8015599999  n  0.000641
0.8081200001  n  0.000641
0.81469  n  0.000641
0.8212500001  n  0.000641
0.8278199997  n  0.000641
0.83439  n  0.000641
0.8409499997  n  0.000641
0.8475200003  n  0.000641
0.8540799999  n  0.000641
0.86065  n  0.000641
0.8672100002  n  0.000641
0.8737800001  n  0.000641
0.8803500002  n  0.000641
0.8869100003  n  0.000641
0.8934799997  n  0.000641
0.9000399997  n  0.000641
0.9066099997  n  0.000641
0.9131699996  n  0.000641
0.91974  n  0.000641
0.9263099998  n  0.000641
0.9328700003  n  0.000641
0.93944  n  0.000641
0.9460000004  n  0.000641
0.9525700003  n  0.000641
0.9591300003  n  0.000641
0.9656999999  n  0.000641
0.9722700001  n  0.000641
0.9788299998  n  0.000641
0.9854000002  n  0.000641
0.9919599995  n  0.000641
0.9985300001  n  0.000641
1.0050899999  n  0.000641
1.0116599996  n  0.000641
1.0182299999  n  0.000641
1.0247900001  n  0.000641
1.0313600004  n  0.000641
1.0379200003  n  0.000641
1.0444900004  n  0.000641
1.0510499998  n  0.000641
1.0576199995  n  0.000641
1.0641899997  n  0.000641
1.0707500001  n  0.000641
1.0773199997  n  0.000641
1.0838800002  n  0.000641
1.09045  n  0.000641
1.0970099995  n  0.000641
1.1035800004  n  0.000641
1.11015  n  0.000641
1.1167099997  n  0.000641
1.1232800002  n  0.000641
1.1298400005  n  0.000641
1.1364100006  n  0.000641
1.1429700004  n  0.000641
1.1495399996  n  0.000641
1.1561000001  n  0.000641
1.1626700004  n  0.000641
1.1692399998  n  0.000641
1.1758000004  n  0.000641
1.1823699997  n  0.000641
1.1889299998  n  0.000641
1.1955000003  n  0.000641
1.2020600005  n  0.000641
1.2086300001  n  0.000641
1.2152000001  n  0.000641
1.2217599996  n  0.000641
1.2283300002  n  0.000641
1.2348900002  n  0.000641
1.2414599998  n  0.000641
1.2480200007  n  0.000641
1.2545900006  n  0.000641
1.2611600001  n  0.000641
1.26772  n  0.000641
1.2742899999  n  0.000641
1.2808500008  n  0.000641
1.2874200001  n  0.000641
1.2939799993  n  0.000641
1.3005500001  n  0.000641
1.3071200003  n  0.000641
1.3136799992  n  0.000641
1.3202500009  n  0.000641
1.3268099994  n  0.000641
1.3333799999  n  0.000641
1.3399400004  n  0.000641
1.3465100001  n  0.000641
1.3530800006  n  0.000641
1.3596399997  n  0.000641
1.3662100002  n  0.000641
1.3727700009  n  0.000641
1.3793399997  n  0.000641
1.3858999992  n  0.000641
1.3924700007  n  0.000641
1.3990400006  n  0.000641
1.4056000009  n  0.000641
1.41217  n  0.000641
1.4187300005  n  0.000641
1.4253000006  n  0.000641
1.4318599998  n  0.000641
1.4384300004  n  0.000641
1.445000001  n  0.000641
1.45156  n  0.000641
1.4581300004  n  0.000641
1.4646899997  n  0.000641
1.4712599996  n  0.000641
1.4778199996  n  0.000641
1.4843899996  n  0.000641
1.4909499991  n  0.000641
1.4975200006  n  0.000641
1.5040899997  n  0.000641
1.5106500002  n  0.000641
1.5172200009  n  0.000641
1.5237800002  n  0.000641
1.5303500007  n  0.000641
1.5369099994  n  0.000641
1.5434799998  n  0.000641
1.5500500008  n  0.000641
1.5566099994  n  0.000641
1.5631800004  n  0.000641
1.569739999  n  0.000641
1.5763100002  n  0.000641
1.582870001  n  0.000641
1.5894399997  n  0.000641
1.5960100005  n  0.000641
1.6025699992  n  0.000641
1.6091400002  n  0.000641
1.6156999999  n  0.000641
1.6222700008  n  0.000641
1.6288299991  n  0.000641
1.6353999992  n  0.000641
1.6419700011  n  0.000641
1.6485300012  n  0.000641
1.6551000003  n  0.000641
1.6616599992  n  0.000641
1.6682300011  n  0.000641
1.6747900011  n  0.000641
1.6813599988  n  0.000641
1.6879299991  n  0.000641
1.6944900004  n  0.000641
1.701059999  n  0.000641
1.7076199991  n  0.000641
1.7141899988  n  0.000641
1.7207499998  n  0.000641
1.7273199999  n  0.000641
1.733890001  n  0.000641
1.7404499986  n  0.000641
1.7470200014  n  0.000641
1.7535800011  n  0.000641
1.7601499991  n  0.000641
1.7667100008  n  0.000641
1.7732799989  n  0.000641
1.779850001  n  0.000641
1.7864099999  n  0.000641
1.792980001  n  0.000641
1.7995400005  n  0.000641
1.806109999  n  0.000641
1.8126699996  n  0.000641
1.8192400006  n  0.000641
1.8258099992  n  0.000641
1.832369999  n  0.000641
1.8389400003  n  0.000641
1.8454999997  n  0.000641
1.8520700017  n  0.000641
1.8586300001  n  0.000641
1.8652000002  n  0.000641
1.8717599987  n  0.000641
1.8783299985  n  0.000641
1.884899999  n  0.000641
1.8914600015  n  0.000641
1.8980300009  n  0.000641
1.9045899983  n  0.000641
1.9111599988  n  0.000641
1.9177200009  n  0.000641
1.9242899992  n  0.000641
1.9308600007  n  0.000641
1.937420001  n  0.000641
1.9439900011  n  0.000641
1.9505499997  n  0.000641
1.9571200018  n  0.000641
1.9636799986  n  0.000641
1.9702500013  n  0.000641
1.9768199985  n  0.000641
1.9833800015  n  0.000641
1.9899500003  n  0.000641
1.9965100007  n  0.000641
2.0030799999  n  0.000641
2.0096400019  n  0.000641
2.0162100018  n  0.000641
2.0227799981  n  0.000641
2.0293399988  n  0.000641
2.0359099995  n  0.000641
2.0424700019  n  0.000641
2.049039998  n  0.000641
2.0556000004  n  0.000641
2.0621700001  n  0.000641
2.0687400018  n  0.000641
2.0752999984  n  0.000641
2.0818699999  n  0.000641
2.0884299988  n  0.000641
2.0949999999  n  0.000641
2.1015600012  n  0.000641
2.1081300017  n  0.000641
2.1147  n  0.000641
2.1212599993  n  0.000641
2.1278300001  n  0.000641
2.134390001  n  0.000641
2.1409600015  n  0.000641
2.1475199993  n  0.000641
2.1540900021  n  0.000641
2.1606600013  n  0.000641
2.1672199991  n  0.000641
2.1737900022  n  0.000641
2.1803500007  n  0.000641
2.1869200022  n  0.000641
2.1934800009  n  0.000641
2.200050001  n  0.000641
2.2066100004  n  0.000641
2.2131799999  n  0.000641
2.2197499979  n  0.000641
2.2263099995  n  0.000641
2.2328800016  n  0.000641
2.2394400024  n  0.000641
2.2460099986  n  0.000641
2.2525700016  n  0.000492923
2.2591399987  n  0.000117917
2.2657099981  n  -0.000257089
2.272269999  n  -0.000632094
2.2788400021  n  -0.000633635
2.2853999975  n  -0.000619911
2.2919700017  n  -0.000600282
2.2985300011  n  -0.00109
2.3050999976  n  -0.00129
2.3116700018  n  -0.00102
2.3182300023  n  -0.00123
2.3247999976  n  -0.00107
2.3313600018  n  -0.000348673
2.3379299991  n  -0.000371825
2.3444900016  n  -0.000888299
2.3510600021  n  2.70254e-05
2.3576299977  n  -0.000742563
2.364189998  n  -0.000163933
2.3707599983  n  0.000312352
2.3773200001  n  3.07734e-05
2.3838899975  n  0.000449076
2.3904499974  n  9.49536e-05
2.3970199998  n  -0.000263897
2.4035899982  n  0.000431878
2.4101499997  n  0.000840313
2.416719998  n  4.43285e-05
2.4232799973  n  0.000284479
2.4298499997  n  0.000529406
2.4364099975  n  0.000959129
2.4429799979  n  0.00088177
2.449549999  n  0.00138
2.456110002  n  0.000849847
2.4626799993  n  0.00144
2.4692399983  n  0.00141
2.4758099994  n  0.00196
2.4823699973  n  0.00178
2.4889400031  n  0.00125
2.4955099973  n  0.0017
2.50207  n  0.00167
2.5086400008  n  0.00187
2.5152000013  n  0.00171
2.5217699991  n  0.00194
2.5283300009  n  0.00215
2.5349000026  n  0.00228
2.5414599997  n  0.00279
2.5480300025  n  0.00202
2.5546000023  n  0.00248
2.5611600014  n  0.00291
2.5677300029  n  0.00305
2.5742899999  n  0.00328
2.5808600021  n  0.00298
2.5874200017  n  0.00318
2.5939899981  n  0.00359
2.6005600015  n  0.00369
2.6071199973  n  0.00349
2.6136900001  n  0.00389
2.62025  n  0.00409
2.6268199998  n  0.00401
2.6333799991  n  0.00434
2.6399499996  n  0.0048
2.6465200014  n  0.00488
2.6530800034  n  0.00547
2.6596499993  n  0.00557
2.6662099982  n  0.00564
2.6727799988  n  0.00593
2.679340002  n  0.00626
2.6859100014  n  0.00684
2.6924799965  n  0.00697
2.6990400033  n  0.00809
2.7056099976  n  0.00814
2.7121700012  n  0.00778
2.7187399989  n  0.01052
2.725299999  n  0.01292
2.7318700001  n  0.01364
2.7384400035  n  0.01295
2.7449999997  n  0.0132
2.7515699984  n  0.01474
2.7581300012  n  0.01594
2.7647000018  n  0.01838
2.7712599975  n  0.02
2.777830001  n  0.02252
2.7844000014  n  0.02572
2.7909600013  n  0.02817
2.7975300026  n  0.03212
2.8040900031  n  0.03629
2.8106600014  n  0.04041
2.8172200003  n  0.04532
2.8237900004  n  0.051
2.8303600015  n  0.05753
2.8369200026  n  0.06446
2.8434900024  n  0.07256
2.8500500028  n  0.08158
2.8566199977  n  0.09184
2.8631800031  n  0.10362
2.8697499969  n  0.11612
2.8763199975  n  0.13062
2.882879999  n  0.14612
2.889450004  n  0.16283
2.8960100005  n  0.18029
2.9025800021  n  0.19735
2.9091400027  n  0.21505
2.9157099991  n  0.2326
2.9222700025  n  0.24937
2.9288399984  n  0.26552
2.9354099958  n  0.28169
2.9419699978  n  0.29693
2.9485399983  n  0.31073
2.9550999979  n  0.32413
2.9616699988  n  0.33594
2.9682300014  n  0.34813
2.9747999962  n  0.36042
2.9813700032  n  0.37254
2.9879299998  n  0.38413
2.9944999989  n  0.398
3.0010600014  n  0.41122
3.0076300024  n  0.42365
3.0141900017  n  0.43597
3.0207600009  n  0.4488
3.0273299996  n  0.45894
3.0338899984  n  0.46887
3.0404600002  n  0.47606
3.0470199977  n  0.48116
3.0535900038  n  0.48452
3.0601499993  n  0.48417
3.0667199957  n  0.48217
3.0732900037  n  0.47812
3.0798499958  n  0.47112
3.0864200008  n  0.46358
3.0929800019  n  0.45466
3.0995500018  n  0.44376
3.1061099979  n  0.43307
3.1126800028  n  0.42064
3.1192500038  n  0.40769
3.1258100048  n  0.39394
3.1323800048  n  0.3798
3.1389400031  n  0.36515
3.1455100031  n  0.34888
3.1520699968  n  0.33304
3.1586399997  n  0.31587
3.1652099969  n  0.2986
3.1717699986  n  0.28094
3.1783400044  n  0.26282
3.1848999967  n  0.24443
3.1914700024  n  0.22654
3.1980300033  n  0.20899
3.2046000008  n  0.1908
3.2111700009  n  0.17363
3.2177300012  n  0.15663
3.2242999962  n  0.14019
3.2308599961  n  0.12437
3.2374299949  n  0.11007
3.2439899992  n  0.09637
3.2505600008  n  0.08346
3.2571200041  n  0.07261
3.2636899964  n  0.06227
3.2702600031  n  0.05381
3.2768199959  n  0.04636
3.2833900054  n  0.0405
3.2899500019  n  0.03465
3.2965199957  n  0.03026
3.3030800052  n  0.02634
3.3096499965  n  0.02274
3.3162200021  n  0.01995
3.3227799958  n  0.01761
3.3293499991  n  0.01551
3.3359100013  n  0.01331
3.3424799964  n  0.01207
3.349039996  n  0.01076
3.3556099977  n  0.00952
3.3621799972  n  0.00837
3.3687400035  n  0.00747
3.3753100049  n  0.00645
3.3818699992  n  0.00558
3.3884399961  n  0.00535
3.3950000002  n  0.00442
3.4015699953  n  0.00402
3.4081399954  n  0.00383
3.4147000001  n  0.00314
3.4212699966  n  0.00322
3.4278300027  n  0.00284
3.4343999979  n  0.0025
3.4409600014  n  0.00235
3.4475299949  n  0.00246
3.4540999987  n  0.00214
3.4606600009  n  0.00227
3.4672300009  n  0.00208
3.4737899991  n  0.00186
3.4803600048  n  0.00175
3.4869200017  n  0.00194
3.4934899949  n  0.0016
3.500059998  n  0.0019
3.5066199971  n  0.00138
3.5131899943  n  0.00169
3.5197500054  n  0.00164
3.5263199993  n  0.00169
3.5328800055  n  0.00147
3.5394499947  n  0.00154
3.5460199957  n  0.00164
3.552580003  n  0.00182
3.5591499997  n  0.00188
3.5657100003  n  0.00134
3.5722799989  n  0.00146
3.578840004  n  0.00176
3.5854100058  n  0.00141
3.5919799952  n  0.00183
3.5985399975  n  0.0018
3.6051099939  n  0.0019
3.611670005  n  0.0018
3.6182400038  n  0.00202
3.6247999971  n  0.00195
3.6313700008  n  0.00188
3.6379299967  n  0.00172
3.6445000025  n  0.00199
3.6510700003  n  0.00186
3.6576300016  n  0.00166
3.6642000042  n  0.00192
3.6707600058  n  0.00186
3.6773300019  n  0.00209
3.6838899969  n  0.00217
3.6904599959  n  0.00235
3.6970300031  n  0.00232
3.7035900035  n  0.00218
3.7101600005  n  0.00237
3.7167200013  n  0.0024
3.7232900018  n  0.00252
3.7298499936  n  0.00249
3.7364200048  n  0.00241
3.742990002  n  0.00265
3.7495499931  n  0.00279
3.7561199966  n  0.00297
3.7626800059  n  0.00277
3.7692499979  n  0.00312
3.7758099976  n  0.00295
3.7823799954  n  0.00314
3.7889499987  n  0.00323
3.7955100058  n  0.00325
3.8020800031  n  0.00341
3.8086400019  n  0.00337
3.8152099985  n  0.00363
3.8217699981  n  0.00369
3.8283400059  n  0.00384
3.8349099933  n  0.00402
3.8414700009  n  0.00398
3.8480400074  n  0.00419
3.8546000012  n  0.00411
3.8611699957  n  0.00434
3.8677299928  n  0.00437
3.8742999949  n  0.0047
3.8808700046  n  0.00449
3.8874299947  n  0.00488
3.8939999932  n  0.00491
3.9005599972  n  0.00501
3.9071300047  n  0.00499
3.9136900011  n  0.00523
3.9202599985  n  0.0054
3.9268299945  n  0.00548
3.9333900069  n  0.00568
3.9399600054  n  0.00577
3.9465199971  n  0.00595
3.9530899935  n  0.00603
3.9596499945  n  0.00599
3.9662200056  n  0.00607
3.9727800052  n  0.0063
3.9793500068  n  0.00647
3.9859199927  n  0.00634
3.9924800042  n  0.00669
3.9990500017  n  0.00689
4.005610001  n  0.00681
4.0121799995  n  0.007
4.0187399954  n  0.00738
4.0253100061  n  0.00729
4.0318799945  n  0.00752
4.0384400043  n  0.00782
4.0450100075  n  0.00795
4.0515700036  n  0.00825
4.0581399978  n  0.00824
4.0646999922  n  0.00814
4.071270008  n  0.00789
4.0778399956  n  0.00846
4.0843999924  n  0.00851
4.0909699999  n  0.00845
4.0975299991  n  0.00895
4.1041000041  n  0.00889
4.1106600032  n  0.00893
4.1172300052  n  0.00908
4.1238000062  n  0.00906
4.1303599935  n  0.00926
4.1369300001  n  0.00936
4.1434900035  n  0.00964
4.1500599941  n  0.0096
4.1566199949  n  0.00982
4.163190004  n  0.01022
4.1697600031  n  0.00989
4.1763200041  n  0.01021
4.1828900056  n  0.01042
4.1894499955  n  0.01021
4.1960199945  n  0.01034
4.2025800067  n  0.01046
4.2091500035  n  0.01037
4.2157199941  n  0.01037
4.2222800055  n  0.01
4.228850003  n  0.01004
4.2354100005  n  0.00991
4.2419799991  n  0.01045
4.2485399977  n  0.0115
4.2551099967  n  0.01386
4.2616800056  n  0.01478
4.2682400014  n  0.01574
4.2748100087  n  0.01329
4.2813699918  n  0.01188
4.2879400084  n  0.01223
4.2944999922  n  0.01247
4.3010699965  n  0.01258
4.3076299995  n  0.01263
4.314199993  n  0.01322
4.3207700075  n  0.01353
4.3273300082  n  0.01362
4.3339000038  n  0.01399
4.3404600055  n  0.01437
4.3470299946  n  0.01469
4.353589994  n  0.01489
4.3601599938  n  0.01491
4.3667300029  n  0.0155
4.3732900053  n  0.01578
4.3798600022  n  0.01584
4.3864200034  n  0.01611
4.3929899969  n  0.01624
4.3995500087  n  0.01676
4.4061199932  n  0.01689
4.4126900016  n  0.01729
4.4192500055  n  0.01739
4.4258200038  n  0.01763
4.4323799986  n  0.01796
4.4389499911  n  0.01829
4.4455100036  n  0.0184
4.4520799991  n  0.0185
4.4586500006  n  0.01894
4.4652099928  n  0.01902
4.4717799983  n  0.01941
4.4783400048  n  0.01937
4.4849099934  n  0.01987
4.4914699956  n  0.01977
4.4980399903  n  0.01938
4.5046099976  n  0.01935
4.511170002  n  0.01986
4.5177399971  n  0.02014
4.5243000086  n  0.01992
4.5308700044  n  0.01974
4.5374299974  n  0.01999
4.5439999904  n  0.0198
4.5505700067  n  0.01977
4.5571299954  n  0.01944
4.5636999898  n  0.01939
4.5702600056  n  0.01899
4.576830005  n  0.01902
4.5833899936  n  0.01887
4.5899600078  n  0.01864
4.5965299958  n  0.01807
4.6030900028  n  0.01809
4.6096600063  n  0.01781
4.6162200021  n  0.01753
4.6227899978  n  0.01709
4.629350004  n  0.01674
4.6359199936  n  0.01645
4.6424899932  n  0.01631
4.6490500029  n  0.01561
4.6556199947  n  0.0155
4.6621799991  n  0.01513
4.6687499936  n  0.01478
4.6753100058  n  0.01426
4.6818799956  n  0.01411
4.6884400102  n  0.01367
4.6950099913  n  0.01329
4.7015799979  n  0.01309
4.7081400002  n  0.01288
4.7147099984  n  0.01262
4.721270005  n  0.01175
4.7278399993  n  0.01176
4.7343999946  n  0.01147
4.740969993  n  0.01145
4.7475399945  n  0.01107
4.7541000012  n  0.01083
4.7606700028  n  0.01035
4.7672300075  n  0.01046
4.7738000031  n  0.00975
4.7803600018  n  0.0097
4.7869300114  n  0.00949
4.7934999987  n  0.00929
4.8000600046  n  0.00919
4.8066299962  n  0.00875
4.8131899888  n  0.0087
4.8197599903  n  0.00804
4.8263200002  n  0.0082
4.832889997  n  0.00782
4.8394599889  n  0.00787
4.8460199924  n  0.00749
4.8525900102  n  0.00737
4.8591500054  n  0.00701
4.8657199954  n  0.00687
4.872280001  n  0.00666
4.8788500067  n  0.00637
4.8854199975  n  0.00653
4.8919799941  n  0.00636
4.8985500008  n  0.00617
4.9051100092  n  0.00592
4.9116800119  n  0.0057
4.9182399899  n  0.00529
4.9248099955  n  0.00526
4.9313799953  n  0.00501
4.9379399948  n  0.00509
4.9445099894  n  0.00495
4.9510700109  n  0.00476
4.9576399904  n  0.00467
4.9642000015  n  0.00451
4.9707700083  n  0.00458
4.9773399878  n  0.0044
4.9839000094  n  0.00441
4.9904699989  n  0.00428
4.9970299902  n  0.00399
5.0035999901  n  0.0037
5.0101600033  n  0.00359
5.0167299918  n  0.00372
5.0232900069  n  0.00366
5.0298599902  n  0.0038
5.0364300092  n  0.00377
5.0429900021  n  0.0036
5.0495599922  n  0.00355
5.0561199994  n  0.00317
5.0626899993  n  0.00333
5.0692500105  n  0.00322
5.0758200107  n  0.00273
5.0823899888  n  0.00301
5.0889500117  n  0.00292
5.0955200066  n  0.00298
5.102079993  n  0.00261
5.1086500019  n  0.0031
5.1152100028  n  0.00303
5.1217799997  n  0.00259
5.1283500107  n  0.00249
5.134910004  n  0.00267
5.1414800077  n  0.00265
5.1480399983  n  0.00257
5.1546100012  n  0.00249
5.1611699974  n  0.00236
5.1677400089  n  0.00266
5.1743100082  n  0.00261
5.1808700002  n  0.00229
5.1874400001  n  0.00258
5.1940000034  n  0.00261
5.2005699929  n  0.00282
5.2071299981  n  0.0024
5.2136999957  n  0.00269
5.2202699973  n  0.00275
5.2268299958  n  0.00252
5.233400011  n  0.00291
5.2399600126  n  0.00241
5.2465300119  n  0.00276
5.2530899884  n  0.00304
5.2596599994  n  0.00261
5.2662299916  n  0.00286
5.2727900055  n  0.0029
5.2793600005  n  0.00282
5.2859200122  n  0.00257
5.2924899885  n  0.0024
5.2990500059  n  0.00278
5.3056200003  n  0.00288
5.3121899955  n  0.0029
5.3187500016  n  0.00286
5.3253199906  n  0.00299
